dialogue_id,speaker,sentence,classification_typenot-word-found,date-found,figure (number) found,sentiment-type,sentiment-score
0,CHAIRMAN FRIEDMAN,"thank you, everyone, and good morning again.",Normal,False,False,False,Positive,3
1,CHAIRMAN FRIEDMAN,we have a couple of announcements.,Normal,False,False,False,Neutral,2
2,CHAIRMAN FRIEDMAN,"you have received those, and those're in you's kits: a review of labor membership on fprac, and director berry's response to the letter director berry 's received from the new jersey congressional delegation.",Task Assigned,False,False,False,Negative,1
3,CHAIRMAN FRIEDMAN,"unless there are any questions or discussion about either of those items, we'll move on.",Task Assigned,False,False,False,Negative,1
4,CHAIRMAN FRIEDMAN,is there anything on either of those?.,Interrogative-affirmation,False,False,False,Neutral,2
5,CHAIRMAN FRIEDMAN,okay.,Normal,False,False,False,Positive,3
6,CHAIRMAN FRIEDMAN,"the minutes of the last meeting, chairman friedman know we got those out rather late to people this time.",Task Assigned,False,False,False,Negative,1
7,CHAIRMAN FRIEDMAN,"if it is your's preference, we can defer approval of the transcript until the next meeting.",Task Assigned,False,False,False,Negative,1
8,MR. SHULMAN,please.,Normal,False,False,False,Positive,3
9,CHAIRMAN FRIEDMAN,okay.,Normal,False,False,False,Positive,3
10,CHAIRMAN FRIEDMAN,why don't we just do we since we were so late.,Normal,False,False,False,Negative,1
11,CHAIRMAN FRIEDMAN,it was vacations.,Normal,False,False,False,Neutral,2
12,CHAIRMAN FRIEDMAN,chairman friedman won't bore you with the details.,Normal,False,False,False,Negative,1
13,CHAIRMAN FRIEDMAN,"we'll make sure it doesn't happen again, anyway.",Normal,False,False,False,Negative,1
14,CHAIRMAN FRIEDMAN,"bringing up then old business, first item is review of lee county, virginia, and there's a couple of new business items that bear on virginia, so why don't we hold off, chairman friedman suggest, until we get to the new business section.",Normal,False,False,False,Verynegative,0
15,CHAIRMAN FRIEDMAN,"the work group, chairman friedman wonder if we can get the work group off the agenda for now.",Task Assigned,False,False,False,Negative,1
16,CHAIRMAN FRIEDMAN,that's the in-abeyance work group that we're going to revisit.,Task Assigned,False,False,False,Neutral,2
17,CHAIRMAN FRIEDMAN,there's really nothing new on that.,Normal,False,False,False,Negative,1
18,CHAIRMAN FRIEDMAN,"on the -lrb-c-rrb- item, special wage schedule pay practice for army corps of engineers lock and dam fws employees, barbara, do you have anything new to report on dam fws employees?.",Interrogative-affirmation,False,False,False,Negative,1
19,CHAIRMAN FRIEDMAN,"you mentioned the last time, you might have some information that bears on the last time, not to put you on the spot.",Normal,True,False,False,Negative,1
20,MS. WALKER,"well, we did provide the study to the corps of engineers, and they've given ms.",Task Assigned,False,False,False,Positive,3
20,MS. WALKER,"walker a heads-up on what they would like to see happen, just they would like to remain status quo.",Task Assigned,False,False,False,Negative,1
21,MS. WALKER,there is no real justification for why we would change it at this point.,Task Assigned,True,False,False,Negative,1
22,MS. WALKER,there's not enough information to really tell which employees it is that they're talking about.,Task Assigned,True,False,False,Negative,1
23,MS. WALKER,"there's a lot of different lock and dam employees, and a lot of a lot of different lock and dam employees would be based on what position descriptions different lock and dam employees are in.",Task Assigned,False,False,False,Negative,1
