sentence,speaker,dialogue_id
only minutes to Carter during the proceedings so that an accurate mooting record exists .,spk_0,0
Ofour transpire .,spk_0,1
Doing minutes are life written record off the meeting .,spk_0,2
They include the list off the attendees issues raised really responses and the final decision taken Toe AG reservations .,spk_0,3
"The purpose is to record what actions have Bean assigned toe room , along with the signals and the red light .",spk_0,4
Also known as the protocol or minutes of a meeting normally include the following elements .,spk_0,5
Name of the company to the top left of the beach did to the top right off the page .,spk_0,6
"Topic after tour it and Keys Central identities , name and the designation absentees names rolls .",spk_0,7
Reason off .,spk_0,8
Absent .,spk_0,9
I didn't know Topic to be discussed .,spk_0,10
Issue raised along with the name off the speaker .,spk_0,11
Suggestions made along with the name of the Speaker decision .,spk_0,12
The outcome of the movie dust list does a located and respective allergy future .,spk_0,13
"Reading the date and the topic off the next movie Great , but how it is don't give you noted thanks Well , the only decent says it's like recorded street off the meeting",spk_0,14
