Original,Resolved
"CHAIRMAN FRIEDMAN said ""Okay. Thank you. I just want to recognize Febbie. This is her last meeting with us. We will miss her. But I understand, Febbie, that we'll be taken care of in your absence, right?""","CHAIRMAN FRIEDMAN said ""Okay. Thank you. CHAIRMAN FRIEDMAN just want to recognize Febbie. This is Febbie's last meeting with us. us will miss Febbie. But CHAIRMAN FRIEDMAN understand, Febbie, that us'll be taken care of in you's absence, right?"""
"MS. GRAY said ""Yes.""","MS. GRAY said ""Yes."""
"CHAIRMAN FRIEDMAN said ""Good luck to you in your new endeavor.""","CHAIRMAN FRIEDMAN said ""Good luck to you in you's new endeavor."""
"MS. GRAY said ""Thank you.""","MS. GRAY said ""Thank you."""
"CHAIRMAN FRIEDMAN said ""Somewhere else in our building, I think.""","CHAIRMAN FRIEDMAN said ""Somewhere else in our's building, CHAIRMAN FRIEDMAN think."""
"MS. GRAY said ""Yes.""","MS. GRAY said ""Yes."""
"CHAIRMAN FRIEDMAN said ""I know we have a rather lightly attended meeting today, but I guess let's just forge ahead. There are a bunch of announcements on the agenda, and you have the documents pertaining to the announcements in your folder and should have received them electronically ahead of time. The first one is Director Berry's responses to several letters, one from Representative Runyan, one from AFGE president Gage, and the letter from the FPRAC Labor members. All of these letters pertain to the proposal to combine FWS wage areas that lie inside of GS locality pay areas. The incoming letters, I think you have from previous meetings. The next item is the final Annual Summary for 2011 that we approved at our April meeting, and so you have the final version in your folder. I received a memorandum from a Colonel James Ross regarding FWS workers at the New Boston Air Force Station in New Hampshire. He is concerned about the pay disparity issue between Wage Grade and General Schedule employees who work at the same location but are paid as if they are in two different locations. A response to his letter is winding its way through our system, and we'll share that once it's finally cleared. I also received a letter from a Mr. William Hanrahan, who is Master of the USNPS Ranger III vessel. I think that the rank of Master is sort of like a Captain but I'm not sure.""","CHAIRMAN FRIEDMAN said ""CHAIRMAN FRIEDMAN know we have a rather lightly attended meeting today, but CHAIRMAN FRIEDMAN guess let's just forge ahead. There are a bunch of announcements on the agenda, and you have the documents pertaining to the announcements in you's folder and should have received 's electronically ahead of time. The first one is Director Berry's responses to several letters, one from Representative Runyan, one from AFGE president Gage, and the letter from the FPRAC Labor members. All of these letters pertain to the proposal to combine FWS wage areas that lie inside of GS locality pay areas. The incoming letters, CHAIRMAN FRIEDMAN think you have from previous meetings. The next item is the final Annual Summary for 2011 that we approved at we's April meeting, and so you have the final version in you's folder. CHAIRMAN FRIEDMAN received a memorandum from a Colonel James Ross regarding FWS workers at the New Boston Air Force Station in New Hampshire. a Colonel James Ross is concerned about the pay disparity issue between Wage Grade and General Schedule employees who work at the same location but are paid as if FWS workers are in two different locations. A response to a Colonel James Ross's letter is winding A response to his letter's way through we's system, and we'll share we once A response to his letter's finally cleared. CHAIRMAN FRIEDMAN also received a letter from a Mr. William Hanrahan, who is Master of the USNPS Ranger III vessel. CHAIRMAN FRIEDMAN think that the rank of Master is sort of like a Captain but CHAIRMAN FRIEDMAN'm not sure."""
"MR. ALLEN said ""It is. The ranks of Master and Captain are similar.""","MR. ALLEN said ""It is. The ranks of Master and Captain are similar."""
"CHAIRMAN FRIEDMAN said ""The vessel transports both passengers and cargo to and from the Isle Royale National Park in Lake Superior, and Mr. Hanrahan raises an issue concerning the members of his crew, who are   FWS employees. Madeline is researching that issue. Presumably, it will wind its way to us at some point.""","CHAIRMAN FRIEDMAN said ""The vessel transports both passengers and cargo to and from the Isle Royale National Park in Lake Superior, and Mr. Hanrahan raises an issue concerning the members of Mr. Hanrahan's crew, who are   FWS employees. Madeline is researching that issue. Presumably, an issue concerning the members of his crew , who are FWS employees will wind an issue concerning the members of his crew , who are FWS employees's way to us at some point."""
"MR. ALLEN said ""Mr. Chairman, it's possible that this may not actually be an issue for the committee's attention. The Department of the Interior Headquarters staff is currently working with the National Park Service staff to figure out what the best pay approach is for the crew of the vessel. The current pay system approach for the vessel is that it's a set-aside wage schedule. It's not been part of the Federal Wage System since the Federal Wage System was created, but the set-aside wage schedule was allowed to continue, and the rates on the wage schedule are making it difficult to recruit and retain sufficient personnel to staff the vessel in a manner that Master Hanrahan believes is safe. So we will keep the Committee informed about what's going on with this, but it's possible that it might be resolved without OPM's or the Committees need for further involvement.""","MR. ALLEN said ""Mr. Chairman, it's possible that this may not actually be an issue for the committee's attention. The Department of the Interior Headquarters staff is currently working with the National Park Service staff to figure out what the best pay approach is for the crew of the vessel. The current pay system approach for the vessel is that The current pay system approach for the vessel's a set-aside wage schedule. The current pay system approach for the vessel's not been part of the Federal Wage System since the Federal Wage System was created, but the set-aside wage schedule was allowed to continue, and the rates on the wage schedule are making The current pay system approach for the vessel difficult to recruit and retain sufficient personnel to staff the vessel in a manner that Master Hanrahan believes is safe. So sufficient personnel will keep the Committee informed about what's going on with this, but the Committee informed about what 's going on with this's possible that the Committee informed about what 's going on with this might be resolved without OPM's or the Committees need for further involvement."""
