,introduction,announcement,announcement cdrom contain letter employee tobyhanna army depot support fprac recommendation consolidate fws wage area lie within gs locality pay area,announcement response may 11 2012 memorandum fprac chairman colonel jam p ross new boston air force station support 2010 afge proposal,review minute 575th meeting,total employment eastern tennessee wage area county,list fws wage area few 500 employee,review criterion define appropriate fund wage area,discussion survey issuesconcern fprac chairman memorandum member survey issue work group,special wage schedule pay practice federal wage system lock dam employee,definition south bendmishawaka inmi metropolitan statistical area,letter american federation government employee date june 6 2011 request fprac review proposal redefine monroe county pa scrantonwilkesbarre pa wage area new york ny wage area,definition hickorylenoirmorganton nc metropolitan statistical area,definition youngstownwarrenboardman ohpa metropolitan statistical area,proposal fprac review federal wage system appropriate fund nonappropriate fund operating manual
Thank you and welcome.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ill make a couple of quick announcements.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
You have in your folders a CD-ROM containing about 400 letters from FWS employees at Tobyhanna Army Depot in Pennsylvania.,116.42485596707819,116.42485596707819,3819317.4000000004,116.42485596707819,116.42485596707819,116.42485596707819,582.1242798353911,116.42485596707819,116.42485596707819,116.42485596707819,116.42485596707819,116.42485596707819,116.42485596707819,116.42485596707819,116.42485596707819
"So some people, I hope, will want to take a look at them.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Also included in your folders is my response to a May letter that I received from Colonel James Ross regarding the situation of FWS workers at the New Boston Air Force Station in New Hampshire.,3785.115715803427,3785.115715803427,94627.89289508574,5280359912946.009,3785.115715803427,3785.115715803427,18925.578579017143,3785.115715803427,15897.486006374396,3785.115715803427,3785.115715803427,473139.4644754288,3785.115715803427,3785.115715803427,3785.115715803427
The incoming letter was distributed at our last meeting.,3.4799999999999995,3.4799999999999995,17.400000000000002,3.4799999999999995,31.319999999999997,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995,3.4799999999999995,17.400000000000002,3.4799999999999995,3.4799999999999995,3.4799999999999995
Any other announcements?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Did you want to make an announcement?,0.5102040816326531,2.142857142857143,2.142857142857143,2.142857142857143,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531
Yes.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"At the last meeting, there was a question raised in regard to the future size of the Federal Wage System workforce.",0.2241852631578947,0.2241852631578947,0.7516799999999997,0.2241852631578947,2.017667368421052,0.7516799999999997,0.7516799999999997,0.7516799999999997,0.2241852631578947,35.49600000000001,0.2241852631578947,1.4198399999999995,0.2241852631578947,0.2241852631578947,18.792
