"""Please enable removing language code from the Dev Center ""language history"" For example if you ever selected ""ru"" and ""ru-ru"" laguages and you published this xap to the Store then it causes Tile localization to show the en-us(default) tile localization which is bad.""",Suggestion
"""Note: in your .csproj file, there is a SupportedCultures entry like this: <SupportedCultures>de-DE;ru;ru-RU </SupportedCultures> When I removed the ""ru"" language code and published my new xap version, the old xap version still remains in the Store with ""Replaced and unpublished"".""",Normal
"""Wich means the new version not fully replaced the old version and this causes me very serious problems: 1.""",Normal
"""Some of my users will still receive the old xap version of my app.""",Normal
"""The store randomly gives the old xap or the new xap version of my app.""",Normal
"""My app has a WP7 version and a WP8 version XAP in the same submission.""",Normal
"""The wp7 xap works only on WP7 and the wp8 xap works only for WP8.""",Normal
"""Sometimes the Store gives the wrong wp7 xap version of my app to Windows Phone 8 users.""",Normal
"""It should be an option to remove the ""ru"" language code from my app 'language History' or an option to completly replace: Fully replace the prevoius(es) xap(s).""",Suggestion
"""Currently if you ever mistakenly selected a ""ru"" language than you will be in a very bad situation forever: - You can live with the wrong Tile displayed for Russian language in the Store (the english one) or - You can publish an update with the removed ""ru"" language, but this update will not ""fully replace"" the old version and you will in truble: 1.)""",Normal
"""): the store will randomly deliver the old/wrong version of your xap.""",Normal
"""I write a lot support ticket on this, but no one really cares on this issue.""",Normal
"""The engineering team can solve this issue if they do one of the following: 1.""",Normal
"""Provide a workaround for removing the ""ru"" language from the language history (I have no need for ""ru"" culture just for ""ru-ru"", but there is no way to remove ""ru"" from the language history if you ever posted your app with ""ru"" language support) 2.""",Suggestion
"""Or add and implement an AppResLib.dll.xxxx.mui for the ""ru"" language culture In the documentation AppResLib.dll.xxxx.mui exist only for ""ru-ru"" and not for ""ru"" culture: http://msdn.microsoft.com/en-us/library/windowsphone/develop/ff967550(v=vs.105).aspx Thanks, Tom Please enable removing language code from the Dev Center ""language history"" For example if you ever selected ""ru"" and ""ru-ru"" laguages and you published this xap to the Store then it causes Tile localization to show the en-us(default) tile localization which is bad.""",Suggestion
"""Wich means the new version not fully replaced the old version and this causes me very serious___ more""",Normal
"""When I driving my car and need to make call at 99% of times the phone use vocal commands for starting bing search instead of call contact.""",Normal
"""But if I press power button and unlock device and open phone and say ""call <person name, device start calling correctly!""",Normal
"""This in driving mode activated.""",Normal
"""Also in italian translation, after reading sms, the device say ""fatto"" for ending operation but work only if I say ""ho finito"".""",Normal
"""If I say ""fatto"" vocal command unrecognized!""",Normal
"""Other little bugs: with my lumia 820 before first WP8 upgrade work fine with vocal commands but from first upgrade to now is bad.""",Normal
"""Don't recognize commands.""",Normal
"""But my old wp7 work fine using same bt sony car stereo!""",Normal
"""Other little bugs: with my lumia 820 before first WP8 upgrade work fine with vocal commands but from___ more""",Normal
"""Outlook color schemes.""",Normal
"""Settings, current live tile Size , and More""",Normal
"""Open the network + settings and tap on call settings.""",Normal
"""Hit the power button to go to sleep mode.""",Normal
"""Wait for 15-20 minutes and switch on the mobile again.""",Normal
"""The window will be blank with only heading on it.""",Normal
"""100% reproducible on Lumia 920 cyan update.""",Normal
"""I always use this feature, please fix ASAP.""",Suggestion
"""Seems there is an issue with the sd card in WP 8.1 Preview.""",Normal
"""Its getting annoying.Please fix this.""",Suggestion
"""I've been working on an LOB for my field of engineering (civil/structural).""",Normal
"""The point is to make the app universal across devices so that our engineers do not have to spend too much time learning and relearning the controls.""",Normal
"""And because the same app runs on tablets and PC's, our engineers can work in the field, come back to their office, and continue working with the same data on their PC's.""",Normal
"""Because of windows 8.1 and windows phone 8.1 universal app, I am hoping to adapt the app to windows phone as well.""",Normal
"""All the saved and live data are saved on onedrive to allow roaming between the devices.""",Normal
"""But I've found that windows phone 8.1 file picker does not have access to onedrive and there is no futureaccesslist.""",Normal
"""This aspect alone prevents any adaptation of my app to the windows phone platform.""",Normal
"""Please allow windows phone 8.1 file/folder picker to have access to onedrive and store the location in futureaccesslist.""",Suggestion
"""Also, please allow onedrive folder to be stored locally like winrt.""",Suggestion
"""Otherwise, it's not a real universal app.""",Normal
"""All the saved and live data are___ more""",Normal
"""So far i have tried three different apps and I cannot access my pre windows phone 8.1 photos.""",Normal
"""This needs fixing as a number 1 priority.""",Suggestion
"""It would be nice to give developers the option put a payment on hold when they reach the appropriate threshold and have the option to put it on top of the next due payment when they reach the threshold after that.""",Suggestion
"""in wp8.1 dev preview theres a bug with the push service.""",Normal
"""when i__m on mobile data connection, i get all my notifications, when i__m on wifi there is no connection to the push server.""",Normal
"""no i found a workaround for myself, when i turn off the mobile data connection manually the push over wifi works.""",Normal
"""but on wp 8.0 gdr 3, the system recognized automaticly wich connection i__m using and turn the push service automaticly on cellular or on wifi.""",Normal
"""everytime it works, with wp 8.1 dev preview it doesn__t.""",Normal
"""When I try to insert a new Bank Account I receive an error because there is a validation that the Bank Account should be in the same Country of my account.""",Normal
"""I think this is not correct, because using Paypal I can receive money in another country but I don't want pay extra costs for Paypal and also i can insert my tax plan in a country different of my country in my account.""",Normal
"""Please remove that validation or validate according with my tax plan and not my country in the account.""",Suggestion
""": there is another post that I voted because I can't change the country in my account.""",Normal
""": there is another post that I voted___ more""",Normal
"""I did a report on in app purchases today and noticed that every line item shows an app version of 1.0.0 - which most certainly is not the case.""",Normal
"""Make Bing Vision lens in the camera app pinnable to Start for quick access again and/or add it to the Cortana screen, to the left of the Music Search button perhaps.""",Normal
"""In Windows Phone 8 we were able directly access facebook through the people hub.""",Normal
"""Comment on photos, write on walls without having to enter the facebook app.""",Normal
"""We were also able to switch between text messages and Facebook messages on the fly.""",Normal
"""Now with WIndows Phone 8.1 the app ALWAYS has to open.""",Normal
"""On my Lumia 920 it takes significantly longer to do that now.""",Normal
"""IT'S SLOW!!!!""",Normal
"""Please bring back the simplicity and efficiency of Windows Phone!""",Suggestion
"""While I was building a web application, I've noticed that single page applications with this url: http://www.contoso.com/!#/ will display blank page and only a refresh will load the page again can you please check that?""",Suggestion
"""It would be great if you would add a RemoteId to the calendars.""",Suggestion
"""appointments have a RemoteId but calendars don't.""",Normal
"""It would be easier to sync calendars if they have a RemoteId like appointments.""",Normal
"""When the application is unpublished by Microsoft, the reason in sent by email.""",Normal
"""When the email is not received (like in my case) the developer doesn't know the reason.""",Normal
"""However this can be easily fixed by writing it in Dev Center.""",Normal
"""In WinRT, the TileBrush class is missing the TileMode and View* properties that are present in other frameworks like WPF and Silverlight.""",Normal
"""Please add these properties so that we can support image tiling properly.""",Suggestion
"""There are tons of requests for this over the past years.""",Normal
"""See this thread for an example: http://social.msdn.microsoft.com/Forums/windowsapps/en-US/bb5aa859-e3d1-46f2-a661-d4bdbee9a1f2/windowsuixamlmediaimagebrush?forum=winappswithcsharp""",Normal
"""The Lockscreen text attribute should be separated out from Tile attributes.""",Suggestion
"""To provide lockscreen text its necessary to use the WideBackContent attribute on the Flip tile.""",Normal
"""But - if you have generated a custom tile and/or you don't want the tile to flip, then you cannot use the lockscreen text feature.""",Normal
"""I'm trying to use the API for Contacts in the namespace Windows.ApplicationModel.Contacts, but it doesn't work as expected.""",Normal
"""First of all, on Windows Phone 8.1 I always get an IOException when trying to call PickContactAsync().""",Normal
"""This is very strange, since I was expecting to see at least Contacts app to be launched, seems there's some problem establishing the contract.""",Normal
"""I also checked the Contacts permission was enabled on the Package.appxmanifest.""",Normal
"""On Windows 8.1 / RT 8.1 che call to the PickContactAsync() works but I receive wrong data instaed, for example: FirstName and LastName are both in FirstName (and LastName is empty), the ImportantDates (e.g.""",Normal
"""Birthday) are always set to low values (like 05/05/0004), but if I try to navigate the contacts through Outlook.com or Contacts/People app I can see the right values.""",Normal
"""Maybe I'm missing something, but this API seems to be broken.""",Normal
"""On Windows 8.1 / RT 8.1 che call to the PickContactAsync() works but I receive wrong data instaed, for example: FirstName and LastName are both in FirstName (and LastName is___ more""",Normal
"""Although it is possible to define custom ETW events, and to generate those events, the publicly available tooling does not currently provide a way to get access to these events.""",Normal
"""The Windows Phone Developer Power Tools only enable collection of predefined profiles that use certain system events.""",Normal
"""There appears to be no way to tell it to collect data from your own custom event sources.""",Normal
"""So although in, e.g., .NET-based store apps, the System.Diagnostics.Tracing.EventSource class is available and can be used to generate custom ETW events, there doesn't appear to be any point to this at the moment because you can't actually record those events in a trace!""",Normal
"""Just to be clear, this is *not* a duplicate of http://wpdev.uservoice.com/forums/110705-dev-platform/suggestions/3743880-please-provide-etw-logging-from-a-windows-phone-8 - as a reply in that thread points out, you can already log ETW events from a WP8 app.""",Normal
"""What I want is the ability to record those alongside system-provided ETW events, so that I can see how my code's activity fits in with system behaviour.""",Suggestion
"""So although in, e.g., .NET-based store apps, the System.Diagnostics.Tracing.EventSource class is available and can be used to generate custom ETW events, there doesn't appear to be any point to this at the moment because you___ more""",Normal
"""Please get back the old OneDrive integration to windows phone 8.1.""",Suggestion
"""It used to sync so fast and was able to view the pictures under photo albums easily.""",Normal
"""And now the app takes long time to load.""",Normal
"""The same happened with Facebook integration.""",Normal
"""It used to be good on 7.8.""",Normal
"""We could minimize or maximize the pictures but now we can only maximize.""",Normal
"""I purchased the windows phone because of the smooth integration but now we are slowly moving towards apps and no OS integration.""",Normal
"""Microsoft provide a system event SmsReceived for app to be notified when a SMS received, we also need such event for phone call, such as PhoneReveived...""",Normal
"""Moreover, it's better to have read-only API for phone call history, so developer can help to make better phone call related app like Android.""",Suggestion
"""make the mapicon of the windows phone sdk 8.1 able to be on top by the use of zindex make the event tapped accessible for mapicon too""",Normal
"""Allow the messaging application to join in the default messaging application (Hub Message) for full interaction.""",Suggestion
"""-applications use the API of the Hub message for send/view/delete/etc... SMS -The message Hub uses the API of others applications for the same thing (send/view/delete/etc... messages).""",Normal
"""This means, that the developper have the ablity to implement other application APIs in the message hub and use it""",Normal
"""We need Windows Phone to synchronize its clock via the internet.""",Suggestion
"""In some countries this does not work via provider services.""",Normal
"""Include an API to add, remove, deactivate tracking protection lists (TPL), to further drive down data usage, enable selective protection against rogue sites tracking, and just having a sense of control.""",Suggestion
"""Just like on desktop IE.""",Normal
"""Provide more help with understand text that coming from cortanan.""",Suggestion
"""things i think about is like understanding dates and times.""",Normal
"""when planning a new agenda item for example this is done nicely.""",Normal
"""Pivot and panorama controls should have options to enable/disable wrapping.""",Normal
"""Also the scroll viewer should have options to disable overscrolling effect.""",Normal
"""This program don't work on WindowsPhone 8.1 (LiveSDK 5.6) bool connected = false; try { var authClient = new LiveAuthClient(); LiveLoginResult result = await authClient.LoginAsync(new string[] { ""wl.signin"", ""wl.skydrive"" }); if (result.Status == LiveConnectSessionStatus.Connected) { connected = true; var connectClient = new LiveConnectClient(result.Session); var meResult = await connectClient.GetAsync(""me""); dynamic meData = meResult.Result; } } catch (LiveAuthException ex) { // Display an error message. }""",Normal
"""catch (LiveConnectException ex) { // Display another error message. }""",Normal
"""if I catch a generic Exception, obtain this exception message: Object reference not set to an istance of an object in row : LiveLoginResult result = await authClient.LoginAsync(new string[] { ""wl.signin"", ""wl.skydrive"" }); but authClient is not null.""",Normal
"""I Also wrote on MSDN Forum, but I received no reply...""",Normal
"""if I catch a generic Exception, obtain this exception message: Object reference not set to an istance of an object in row : LiveLoginResult result =___ more""",Normal
"""i can use it to recover my files.""",Normal
"""Hoello, with WP8.1 the Silverlight XAP apps are forced to use ""Fast Resume"".""",Normal
"""This has broken my app Swipe Tunes as I hastilly submitted a WP8.1 update with Transparent Tile and realised later that fast resume was causing issues with my secondary tiles etc.""",Normal
"""Fast resume has pretty much killed my app and I can't delete the WP8.1 XAP from the store, and as such it looks like my app will not be able to go back on the WP Store or if it does it will have to be under a new name and abandon previous customers.""",Normal
"""Please cant we have an option in the WPAppManifest file to untick ""fast resume"" and allow WP8.1 apps to not run in fast resume mode just like in WP8?""",Suggestion
"""http://windowsphone.uservoice.com/forums/101801-feature-suggestions/suggestions/6080912-we-want-open-the-app-by-tap-the-quick-status-icon""",Normal
"""Allow NFC capable Windows Phones to pay from the Wallet app using NFC at locations where card readers support it.""",Suggestion
"""Google wallet has been able to do this for almost 3 years now.""",Normal
"""Just YouTube using Google Wallet at McD.""",Normal
"""Support for this would destroy any argument for an apple device because they aren't going to do this any time soon and it would close the gap in functionality between WP and android.""",Normal
"""Developers need create/edit document from Windows Store Apps.""",Suggestion
"""Thereby, integrate WinRT apps with Office.""",Normal
"""OpenXML SDK Office for WinRT __ Office Primary Interop Assembly Classes for WinRT Win8 applications need to be more productive for businesses!""",Normal
"""Microsoft / Pubcenter claims to have interstitials.""",Normal
"""However, these are just bigger ad formats and not the interstitials we know from other ad networks.""",Normal
"""Interstitials are displayed at a break point in the app / game.""",Normal
"""Therefore it is for the app / game developer much more important to have a good fill rate.""",Normal
"""Allowing to prefetch an ad allow the developer to optimise his ad strategy.""",Normal
"""he is able to show his own house ad when pubcenter can not fill the ad request).""",Normal
"""Provide access to CPU & GPU data in C#""",Suggestion
"""I style a part of the page in ""font-style: italic"" and see the font (Segoe UI) is rendered in much bolder style than the rest of the page.""",Normal
"""See http://social.msdn.microsoft.com/Forums/windowsapps/en-US/2c0cbd51-ae37-4ab7-a3e4-7e1d7cce8643/segoe-ui-italic-looks-bold?forum=winappswithhtml5 for screenshots of this possible bug""",Normal
"""I've seen some suggestions that are close to what we need, but not quite, and are marked as completed.""",Normal
"""I don't know why there is no support for current devices to read NFC cards/tags in full at a low level.""",Normal
"""Seems deceptive to say that the device has NFC capabilities if in reality it can only read a very specific type of tag.""",Normal
"""For one of our products we need to support NFC card reading/writing with existing devices and several types of cards (Mifare, UL, ULC, Calypso, Desfire, maybe even more) I've read that for WP8.1 the functionality will be added but only for devices with a specific NFC chipset which is currently not present in any of the devices.""",Normal
"""So please provide the low-level reading/writing functionality for NFC devices already in the field.""",Suggestion
"""For one of our products we need to support NFC card reading/writing with existing devices and several types of cards (Mifare, UL, ULC, Calypso, Desfire, maybe even more) I've read that for WP8.1 the functionality will be___ more""",Normal
"""It's supremely annoying while developing to have to go through the certification wait time just to add an in-app purchase product to the dev center.""",Normal
"""I'm not sure I can think of a reason that any certification is needed for these; they're merely a price, key, and type.""",Normal
"""Please remove the cert process for these and allow them to be added *instantly*""",Suggestion
"""When porting my Windows 8 app to Windows Phone 8, I feel that the Universal App template (which is already awesome) could do some other things to increase even more productivity: 1 - Create Pages and UserControl folders: Let's face it, unless we want to create sh**** apps, we won't have the same UI for all platforms, so we'll end up creating the same pages and controls in BOTH versions.""",Normal
"""VS2013 could create those folders in each project and bring in the classes (pages and user controls) from the original project.""",Normal
"""I have stated the folder names I use (Pages and UserControls) but the rule could deal with other names as well.""",Normal
"""2 - I use SettingsFlyouts and I took some time to replicate them as pages in the Windows Phone project.""",Normal
"""That could be automatic too.""",Suggestion
"""3 - Likewise, top and bottom app bars in Windows 8 could be translated into the Windows Phone versions automatically, if for example buttons were found in those controls.""",Normal
"""4 - Do the same for Styles.xaml (or whatever file contains Templates and Styles) as done in 1.""",Normal
"""I believe that other kinds of automatic measures could be taken, but I only remember these 4 because I ported a very simple app.""",Normal
"""I recognize that when Threshold arrives (code matching between Windows and Windows Phone achieves 100%), much of these may not matter anymore, but for the time being these would be nice additions.""",Suggestion
"""I have stated the folder names I use (Pages___ more""",Normal
"""I wished that PubCenter had a way of merging apps that I had in both platforms (Windows and Windows Phone), which obviously includes Universal Apps.""",Normal
"""When using headphones, music will pause if Cortanta notifies you of an incoming text message.""",Normal
"""Music will then continue to play once you respond to the notification.""",Normal
"""However, Podacasts do not pause and will continue to play (inaudibly) in the background as you interact with Cortanta.""",Normal
"""This is a bug and should be fixed so that ANY media that is playing will be paused if you are interacting with Cortanta.""",Suggestion
"""The trial feature should be built-in with automatic enforcement, user prompting, disabling, etc, just as it is in the Windows Store.""",Suggestion
"""In the Windows store, I can choose trial mode for my app, and then pick the number of days I want the trial to last.""",Normal
"""From there, everything is taken care of for me.""",Normal
"""If the user uninstalls during a trial, it tracks this fact and prevents them from starting a new trial later.""",Normal
"""Contrast this with the Windows Phone world, where the developer indicates trial mode in the store, but has to manually track the number of days since install, whether the user has purchased, etc.""",Normal
"""If the user uninstalls and installs again later, the developer has no idea.""",Normal
"""Adding trial-mode in Windows Phone feels like implement-and-pray.""",Normal
"""I absolutely love the Windows Store implementation.""",Normal
"""With the two stores combining, can we bring built-in trial mode support to Windows Phone?""",Suggestion
